TYPE,TEETH OF GEAR,QTY,UNIT,Dia /size,DP/ B.SIZE,Pitch dia(in inch),Module,STORAGE LOCATION RACK AND SLOT NO,UNIQUE ID,
V-BELT,C-TYPE,1,Nos,164,,,,4C,V-BELT--C-TYPE--164--,4C
V-BELT,C-TYPE,1,Nos,162,,,,4D,V-BELT--C-TYPE--162--,4D
V-BELT,C-TYPE,1,Nos,158,,,,4A,V-BELT--C-TYPE--158--,4A
V-BELT,C-TYPE,1,Nos,152,,,,4F,V-BELT--C-TYPE--152--,4F
V-BELT,C-TYPE,1,Nos,150,,,,WALL,V-BELT--C-TYPE--150--,WALL
V-BELT,C-TYPE,1,Nos,146,,,,4A,V-BELT--C-TYPE--146--,4A
V-BELT,C-TYPE,1,Nos,136,,,,4C,V-BELT--C-TYPE--136--,4C
V-BELT,C-TYPE,1,Nos,126,,,,4D,V-BELT--C-TYPE--126--,4D
V-BELT,C-TYPE,1,Nos,124,,,,4C,V-BELT--C-TYPE--124--,4C
V-BELT,C-TYPE,1,Nos,118,,,,4C,V-BELT--C-TYPE--118--,4C
V-BELT,C-TYPE,1,Nos,116,,,,4B,V-BELT--C-TYPE--116--,4B
V-BELT,C-TYPE,1,Nos,115,,,,4C,V-BELT--C-TYPE--115--,4C
V-BELT,C-TYPE,1,Nos,112,,,,4F,V-BELT--C-TYPE--112--,4F
V-BELT,C-TYPE,1,Nos,108,,,,WALL,V-BELT--C-TYPE--108--,WALL
V-BELT,C-TYPE,1,Nos,105,,,,WALL,V-BELT--C-TYPE--105--,WALL
V-BELT,C-TYPE,1,Nos,104,,,,4F,V-BELT--C-TYPE--104--,4F
V-BELT,C-TYPE,1,Nos,103,,,,WALL,V-BELT--C-TYPE--103--,WALL
V-BELT,C-TYPE,1,Nos,102,,,,WALL,V-BELT--C-TYPE--102--,WALL
V-BELT,C-TYPE,1,Nos,100,,,,4B,V-BELT--C-TYPE--100--,4B
V-BELT,C-TYPE,1,Nos,99,,,,4D,V-BELT--C-TYPE--99--,4D
V-BELT,C-TYPE,1,Nos,98,,,,WALL,V-BELT--C-TYPE--98--,WALL
V-BELT,C-TYPE,1,Nos,96,,,,WALL,V-BELT--C-TYPE--96--,WALL
V-BELT,C-TYPE,1,Nos,95,,,,4F,V-BELT--C-TYPE--95--,4F
V-BELT,C-TYPE,1,Nos,94,,,,WALL,V-BELT--C-TYPE--94--,WALL
V-BELT,C-TYPE,1,Nos,90,,,,4D,V-BELT--C-TYPE--90--,4D
V-BELT,C-TYPE,1,Nos,85,,,,4D,V-BELT--C-TYPE--85--,4D
V-BELT,C-TYPE,1,Nos,84,,,,WALL,V-BELT--C-TYPE--84--,WALL
V-BELT,C-TYPE,1,Nos,80,,,,4B,V-BELT--C-TYPE--80--,4B
V-BELT,C-TYPE,1,Nos,76,,,,4C,V-BELT--C-TYPE--76--,4C
V-BELT,C-TYPE,1,Nos,68,,,,4F,V-BELT--C-TYPE--68--,4F
V-BELT,C-TYPE,1,Nos,64,,,,4C,V-BELT--C-TYPE--64--,4C
V-BELT,C-TYPE,1,Nos,73,,,,WALL,V-BELT--C-TYPE--73--,WALL
V-BELT,C-TYPE,1,Nos,62,,,,4D,V-BELT--C-TYPE--62--,4D
BEARING,21312-E1-XL,5,Nos,,,,,13 B,BEARING--21312-E1-XL----,
BEARING,22216-E1-YL,1,Nos,,,,,13 A,BEARING--22216-E1-YL----,
BEARING,21312-E1-XL,4,Nos,,,,,13 B,BEARING--21312-E1-XL----,
BEARING,6215-2ZL-140C3,1,Nos,,,,,13 B,BEARING--6215-2ZL-140C3----,
BEARING,6216-2ZL-140C3,2,Nos,,,,,13 B,BEARING--6216-2ZL-140C3----,
BEARING,6210-2Z-C3,6,Nos,,,,,NA,BEARING--6210-2Z-C3----,
BEARING,6200-2ZR-E305B,18,Nos,,,,,13D,BEARING--6200-2ZR-E305B----,
BEARING,6207-C3,8,Nos,,,,,13 B,BEARING--6207-C3----,
BEARING,6209-C3,10,Nos,,,,,13 A,BEARING--6209-C3----,
BEARING,6208-C3,1,Nos,,,,,13 B.C,BEARING--6208-C3----,
BEARING,6213-C3,2,Nos,,,,,13 B,BEARING--6213-C3----,
BEARING,6203-C,19,Nos,,,,,NA,BEARING--6203-C----,
BEARING,6202-C,9,Nos,,,,,13D,BEARING--6202-C----,
BEARING,6201-C,23,Nos,,,,,13D,BEARING--6201-C----,
BEARING,22213-EW33J,2,Nos,,,,,13 C,BEARING--22213-EW33J----,
BEARING,22214-CCW33C3,1,Nos,,,,,13 A,BEARING--22214-CCW33C3----,
BEARING,22214-EL,3,Nos,,,,,13 B,BEARING--22214-EL----,
BEARING,6202-E305A,16,Nos,,,,,13D,BEARING--6202-E305A----,
BEARING,32208-DYH305A,11,Nos,,,,,13 B,BEARING--32208-DYH305A----,
BEARING,32209-DYH305B,13,Nos,,,,,13 B,BEARING--32209-DYH305B----,
BEARING,30207-DYH305A,1,Nos,,,,,NA,BEARING--30207-DYH305A----,
BEARING,30210-DYH305A,3,Nos,,,,,13 A,BEARING--30210-DYH305A----,
BEARING,7208-BTVP,4,Nos,,,,,13 C,BEARING--7208-BTVP----,
BEARING,6006-2RSV2,4,Nos,,,,,13D,BEARING--6006-2RSV2----,
BEARING,6000-2RS,2,Nos,,,,,13D,BEARING--6000-2RS----,
BEARING,6201-2RS,7,Nos,,,,,13D,BEARING--6201-2RS----,
BEARING,6307-ZZ,7,Nos,,,,,13 C,BEARING--6307-ZZ----,
BEARING,6211-ZZ,7,Nos,,,,,13 A,BEARING--6211-ZZ----,
BEARING,6210-ZZ,3,Nos,,,,,13 A,BEARING--6210-ZZ----,
BEARING,6306-ZZ,12,Nos,,,,,13 A,BEARING--6306-ZZ----,
BEARING,6308-ZZ,2,Nos,,,,,13C,BEARING--6308-ZZ----,
BEARING,6013-ZZ,3,Nos,,,,,13 A,BEARING--6013-ZZ----,
BEARING,6313-ZZ,1,Nos,,,,,13 A,BEARING--6313-ZZ----,
BEARING,6313,1,Nos,,,,,13 A,BEARING--6313----,
BEARING,6303-Z,2,Nos,,,,,13 C,BEARING--6303-Z----,
BEARING,6004-RS,41,Nos,,,,,13D,BEARING--6004-RS----,
BEARING,32209,3,Nos,,,,,13 C,BEARING--32209----,
BEARING,32208-A,1,Nos,,,,,13 C,BEARING--32208-A----,
BEARING,32206,2,Nos,,,,,13 C,BEARING--32206----,
BEARING,32208,4,Nos,,,,,"13 A,C",BEARING--32208----,
BEARING,6210-Z,1,Nos,,,,,13 A,BEARING--6210-Z----,
PEDSTRAL,UCP-205,14,Nos,,,,,13 D,PEDSTRAL--UCP-205----,
PEDSTRAL,UCP-207,2,Nos,,,,,13 D,PEDSTRAL--UCP-207----,
PEDSTRAL,UCP-209,4,Nos,,,,,13 D,PEDSTRAL--UCP-209----,
PEDSTRAL,UCP-208,3,Nos,,,,,13 D,PEDSTRAL--UCP-208----,
PEDSTRAL,UCF-208,5,Nos,,,,,13 D,PEDSTRAL--UCF-208----,
PEDSTRAL,UCF-205,4,Nos,,,,,13 D,PEDSTRAL--UCF-205----,
PEDSTRAL,NSK-512,2,Nos,WITHOUT BEARING,,,,13 E,PEDSTRAL--NSK-512--WITHOUT BEARING--,
PEDSTRAL,S-511,3,Nos,WITHOUT BEARING,,,,13 E,PEDSTRAL--S-511--WITHOUT BEARING--,
PEDSTRAL,NSK-506,1,Nos,WITHOUT BEARING,,,,13 E,PEDSTRAL--NSK-506--WITHOUT BEARING--,
PEDSTRAL,NSK-507,1,Nos,WITHOUT BEARING,,,,13 E,PEDSTRAL--NSK-507--WITHOUT BEARING--,
BEARING,6213,1,Nos,,,,,13 B,BEARING--6213----,
